Status,Reference Number,Billing Document Number,Document Date,Total Amount(USD),Paid Amount(USD),Open Amount(USD),Due Date,Soldto Number,Account number,currencyKey
Open,90041012,90041012,10/04/2026,2566.47,,2566.47,25/05/2026,,3000,EUR
Open,90041013,90041013,10/04/2026,9199.89,,9199.89,25/05/2026,,3000,EUR
Open,90041014,90041014,10/04/2026,17157.42,,17157.42,25/05/2026,,3000,EUR
Open,90041015,90041015,13/04/2026,15441.68,28.1,15413.58,13/04/2026,,3000,EUR
Credit,100_REF,,07/05/2026,-100,,-100,,,3000,EUR
Credit,AS,,19/05/2026,-11,,-11,,,3000,EUR
Credit,REF 20,,08/06/2026,-20,,-20,,,3000,EUR
Credit,REF 14,,08/06/2026,-14,,-14,,,3000,EUR
Credit,90041015,,22/06/2026,-2.25,,-2.25,,,3000,EUR
Open,90040956,90040956,08/10/2025,9575,1986.9,7588.1,08/10/2025,,10888,USD
Open,90040958,90040958,10/10/2025,2785,8.9,2776.1,10/10/2025,,10222,USD
Open,90040966,90040966,27/02/2026,420,0.3,419.7,27/02/2026,,10222,USD
Open,90040968,90040968,27/02/2026,420,0.35,419.65,27/02/2026,,10222,USD
Open,90040969,90040969,27/02/2026,525,0.2,524.8,27/02/2026,,10222,USD
Open,90040935,90040935,09/05/2024,3000,1939.5,1060.5,08/06/2024,,9508,USD
Open,90040941,90040941,11/07/2024,3000,1149.5,1850.5,10/08/2024,,9508,USD
Credit,90040935,,08/04/2025,-1.23,,-1.23,,,9508,USD
Credit,RFRFTGTGTGTGTG,,18/04/2025,-2,,-2,,,9508,USD
Credit,DFGSD,,18/04/2025,-2,,-2,,,9508,USD
Credit,5,,21/04/2025,-5,,-5,,,9508,USD
Credit,TEST12345,,19/06/2025,-10,,-10,,,9508,USD
Credit,9508,,26/06/2025,-1,,-1,,,9508,USD
Credit,90040935,,17/07/2025,-5,,-5,,,9508,USD
Credit,90040935,,17/07/2025,-1,,-1,,,9508,USD
Credit,90040935,,17/07/2025,-1,,-1,,,9508,USD
Credit,90040941,,18/07/2025,-1,,-1,,,9508,USD
Credit,123,,07/10/2025,-1,,-1,,,9508,USD
Credit,12345,,26/11/2025,-10,,-10,,,9508,USD
Credit,112,,04/12/2025,-10,,-10,,,9508,USD
Credit,90040935,,18/12/2025,-5,,-5,,,9508,USD
Credit,90040941,,11/06/2026,-1,,-1,,,9508,USD
Open,90040946,90040946,16/04/2025,4088,645.53,3442.47,16/05/2025,,10452,USD
Credit,PAYMENT IN ADVAN,,20/06/2025,-500,,-500,,,10452,USD
Credit,22,,13/05/2026,-20,,-20,,,10452,USD
Credit,REF_15,,14/05/2026,-15,,-15,,,10452,USD
Credit,REF_10,,19/05/2026,-10,,-10,,,10452,USD
Credit,REF 12,,02/06/2026,-12,,-12,,,10452,USD
Credit,REF 12,,02/06/2026,-12,,-12,,,10452,USD
Credit,REF 12,,02/06/2026,-12,,-12,,,10452,USD
Credit,REF 12,,08/06/2026,-12,,-12,,,10452,USD
Credit,REF 12,,08/06/2026,-12,,-12,,,10452,USD
Credit,11,,08/06/2026,-11,,-11,,,10452,USD
Credit,30_REF,,08/06/2026,-30,,-30,,,10452,USD
Credit,REF 10,,11/06/2026,-10,,-10,,,10452,USD
Credit,NOTES,,12/06/2026,-50,,-50,,,10452,USD
Credit,REF 11.25,,12/06/2026,-11.25,,-11.25,,,10452,USD
Credit,REF 10.5,,12/06/2026,-10.5,,-10.5,,,10452,USD
Credit,REF 11.25,,12/06/2026,-11.25,,-11.25,,,10452,USD
Credit,TEST,,17/06/2026,-0.5,,-0.5,,,10452,USD
Credit,90040946,,17/06/2026,-1,,-1,,,10452,USD
Credit,90040946,,17/06/2026,-1,,-1,,,10452,USD
Credit,TEST CK,,18/06/2026,-1.16,,-1.16,,,10452,USD
Credit,90040946,,18/06/2026,-1,,-1,,,10452,USD
Credit,REF 10,,19/06/2026,-10,,-10,,,10452,USD
Credit,REF 9,,19/06/2026,-9,,-9,,,10452,USD
Credit,REF 10,,19/06/2026,-10,,-10,,,10452,USD
Credit,REF 5,,19/06/2026,-5,,-5,,,10452,USD
Credit,REF 5,,19/06/2026,-5,,-5,,,10452,USD
Credit,REF 4,,19/06/2026,-4,,-4,,,10452,USD
Credit,REF 5,,23/06/2026,-5,,-5,,,10452,USD
